1,SEX-90Z-2,SEX - OTHER NON-FORCIBLE SEX VIOLATION,4/10/25,1252,13600 SAINT JOHNS WOOD PL,HERNDON,VA,20171
1,DEST-290-7,DESTRUCTION - GRAFFITI,4/10/25,1100,900 BALLS HILL RD,MCLEAN,VA,22101
2,SERV-45,SRO RELATED EVENT,4/10/25,1100,900 BALLS HILL RD,MCLEAN,VA,22101
0,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1403,9500 OLD KEENE MILL RD,BURKE,VA,22015
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1234,3000 NUTLEY ST,FAIRFAX,VA,22031
2,LARC-23-9,LARCENY -  ALL OTHER LARCENY,4/10/25,1234,3000 NUTLEY ST,FAIRFAX,VA,22031
2,SERV-48,SERVICE - ESRO (EMERGENCY SUBSTANTIAL RISK ORDER),4/10/25,1312,8700 PAPPAS WAY,ANNANDALE,VA,22003
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1436,6500 FAIRLAND ST,ALEXANDRIA,VA,22312
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1409,14400 GOLDEN OAK CT,CENTREVILLE,VA,20121
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,4/10/25,1320,13200 ROLLING PLAINS CT,HERNDON,VA,20171
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,4/10/25,1320,13200 ROLLING PLAINS CT,HERNDON,VA,20171
2,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1345,11600 VANTAGE HILL RD,RESTON,VA,20190
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1407,7600 RICHMOND HWY,ALEXANDRIA,VA,22306
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,1412,8200 LEESBURG PIKE,VIENNA,VA,22102
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,4/10/25,1444, HIGHLAND ST / STEEL MILL DR,SPRINGFIELD,VA,22150
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1407,14700 MURDOCK ST,CHANTILLY,VA,20151
1,DEST-290-7,DESTRUCTION - GRAFFITI,4/10/25,1506, BURKE RD / BURKE LAKE RD,BURKE,VA,22015
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1440,8200 GREENSBORO DR,MCLEAN,VA,22102
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,4/10/25,1521,3400 TILTON VALLEY DR,FAIRFAX,VA,22033
1,LARC-23-13,LARCENY - CONFIDENCE/TRUST SCAM,4/10/25,1459,5900 AMBASSADOR WAY,ALEXANDRIA,VA,22310
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1421,7600 ALLMAN DR,ANNANDALE,VA,22003
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,4/10/25,1420,5800 KINGSTOWNE BLVD,ALEXANDRIA,VA,22315
1,DEST-290-7,DESTRUCTION - GRAFFITI,4/10/25,1540, RT50 RAMP TO ARLINGTON BLVD SE / RT50 SERVICE RD RAMP TO RT50,FAIRFAX,VA,22044
1,WEAP-520-9,WEAPONS - BRANDISHING,4/10/25,1529,3900 MARIPOSA PL,ALEXANDRIA,VA,22309
2,SERV-8,SERVICE - LOST/FOUND PROPERTY,4/10/25,1529,3900 MARIPOSA PL,ALEXANDRIA,VA,22309
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,4/10/25,1310,4900 STONECROFT BLVD,CHANTILLY,VA,20120
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1507,7600 LITTLE RIVER TPKE,ANNANDALE,VA,22003
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1516,10500 LEESBURG PIKE,VIENNA,VA,22182
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,4/10/25,1426,12300 ROUTE 50,FAIRFAX,VA,22033
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1633,6100 ARLINGTON BLVD,FALLS CHURCH,VA,22044
